conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1945992123192598723,Thu Jul 17 23:40:51 +0000 2025,0,kangen essay abal-abalanku. cinta sm guru english lanjutku krn pas uprak nyuruh muridnya bikin essay tentang #kaburajadulu WAKAKKAAKAK akhirnya aku bisa mencaci-maki pemerintah lewat tulisan indahku itu,1945992123192598723,,,in,,0,0,0,https://x.com/undefined/status/1945992123192598723,1927750473572114432,
1945905054218670171,Thu Jul 17 21:13:40 +0000 2025,1,@MN_aliakbar #kaburajadulu emang tidak untuk semua orang ,1945955083180503485,,MN_aliakbar,in,,0,0,0,https://x.com/undefined/status/1945955083180503485,38646280,
1945905054218670171,Thu Jul 17 17:54:52 +0000 2025,155,Umur segini sy memutuskan #kaburajadulu ke Eropa bermodalkan niat untuk belajar. Hidup seadanya ditanah orang kena rasis tiap hari selalu berfikir cukup ga yaa? Nulis paper sampe 10 dalam setahun Biar bisa jajan diluar . Seru untuk d ingat tp tidak ingin terulang lagi,1945905054218670171,,,in,,0,3,21,https://x.com/undefined/status/1945905054218670171,191052956,
1945862898607370569,Thu Jul 17 16:23:20 +0000 2025,0,@orochimayu WAKAKAKA kebelet #kaburajadulu,1945882019701064129,,orochimayu,in,,0,0,0,https://x.com/undefined/status/1945882019701064129,1018253114447572992,
1945879442544554427,Thu Jul 17 16:13:06 +0000 2025,0,kaburajadulu,1945879442544554427,,,in,,0,0,0,https://x.com/undefined/status/1945879442544554427,1305179824210599938,
1945876674928943246,Thu Jul 17 16:02:06 +0000 2025,1,Hastag #kaburajadulu itu beneran harus berubah jadi orang cuek bodo amat. Apalagi kalo kalian ketemu sama PASTOR MUSLIM di florida. Kemarin uda bengong nonton vegan minum susu stroberi karena itu susunya berasal dari stroberi. https://t.co/eRdj1q73ED,1945876674928943246,https://pbs.twimg.com/media/GwEkgrIWAAAg8_e.jpg,,in,,0,0,0,https://x.com/undefined/status/1945876674928943246,93560205,
1945860574409281538,Thu Jul 17 15:52:44 +0000 2025,0,@spidroins gak sabar menyaksikan update kehidupan kaburajadulu,1945874315486072978,,spidroins,in,,0,1,0,https://x.com/undefined/status/1945874315486072978,2312829175,
1945860574409281538,Thu Jul 17 15:41:32 +0000 2025,0,@spidroins semangat juga kaburajadulu nya nanti september ricooo,1945871498872287666,,spidroins,in,,0,1,0,https://x.com/undefined/status/1945871498872287666,2312829175,
1945861426431545655,Thu Jul 17 15:01:31 +0000 2025,1,#.KaburAjaDulu,1945861426431545655,,,in,,0,0,0,https://x.com/undefined/status/1945861426431545655,3218766038,
1945857920463487025,Thu Jul 17 14:47:35 +0000 2025,0,demi apapun iya pada pindah #kaburajadulu beneran dilakuin even org terdekat bbrp udh merantau LN,1945857920463487025,,,in,,0,0,0,https://x.com/undefined/status/1945857920463487025,1146062986764681216,
1945736520474001864,Thu Jul 17 14:15:19 +0000 2025,0,@Sedurous Sekarang masih libur ya Dustin? Atau mau ikutan #.KaburAjaDulu?,1945849801381200056,,Sedurous,in,,0,0,0,https://x.com/undefined/status/1945849801381200056,1210752626,
1945842809237590104,Thu Jul 17 13:47:32 +0000 2025,3,Ayo anak muda yg mau #KaburAjaDulu https://t.co/souhkfxUN1,1945842809237590104,,,in,,0,0,1,https://x.com/undefined/status/1945842809237590104,1303615921550835712,
1945834560434151483,Thu Jul 17 13:14:45 +0000 2025,0,2026 harus berhasil kaburajadulu ke Benua Eropa!! FIX BANGET INI DALAM NAMA TUHAN YESUS tweet ini akan aku retweet tahun depannnn. stay tunee!! kalian saksinya ya weeeeee!!!,1945834560434151483,,,in,,0,0,0,https://x.com/undefined/status/1945834560434151483,988673325655179264,
1945824994052723115,Thu Jul 17 12:36:44 +0000 2025,0,Semoga bisa ya suatu saat nanti mewujudkan cita-cita kaburajadulu ku ini,1945824994052723115,,,in,,0,0,0,https://x.com/undefined/status/1945824994052723115,1630256431718096896,
1945813258155212988,Thu Jul 17 12:27:52 +0000 2025,0,@xxxxmit apa aku harus jadi mamaknya peabutt ya biar bisa #kaburajadulu ‍↔️,1945822760133136746,,xxxxmit,in,,0,0,0,https://x.com/undefined/status/1945822760133136746,59954080,
1945816925193265339,Thu Jul 17 12:06:17 +0000 2025,0,Tren ini juga bikin banyak akun medsos rame share info beasiswa lowongan kerja internasional tips adaptasi budaya dsb. Kamu sendiri gimana? Pernah kepikiran #KaburAjaDulu juga? Atau malah pengen tetap di sini dan bantu bangun ekosistem yang lebih baik?,1945817330073641032,,transforme_id,in,,0,1,0,https://x.com/undefined/status/1945817330073641032,1701525065681235969,
1945816925193265339,Thu Jul 17 12:04:41 +0000 2025,0,Guys kalian pasti pernah liat hashtag #KaburAjaDulu yang lagi rame itu kan? Isinya cerita anak muda yang pengen angkat kaki dari Indonesia buat kuliah atau kerja di luar negeri. Kenapa ya? Yuk simak lewat thread dibawah:,1945816925193265339,,,in,,0,1,0,https://x.com/undefined/status/1945816925193265339,1701525065681235969,
1945531116720722263,Thu Jul 17 11:43:10 +0000 2025,0,@Jjasekue tau ih otw #kaburajadulu gak sih?,1945811513509617677,,Jjasekue,in,,0,0,0,https://x.com/undefined/status/1945811513509617677,1936452752286388224,
1945791785315471460,Thu Jul 17 10:24:47 +0000 2025,13,Poster pronatalitas Indonesia. Empat anak adalah bare minimum. Dua anak untuk membangun Indonesia. Satu anak KaburAjaDulu ke Singapura. Satu anaknya lagi pindah ke Eropa. https://t.co/mTFwHTLA9C,1945791785315471460,https://pbs.twimg.com/media/GwDW-VHWkAApttQ.jpg,,in,,0,1,0,https://x.com/undefined/status/1945791785315471460,753309366,
